installation_step,bar_index,entity_id,guid,name,tag,length_mm,radius_mm,entry_direction,forced_core_resolution
45,3310,390183,0uegOgAsjDrBLfn4efvx1u,吊点加强钢筋_B3:吊点加强钢筋_B3:710231,710231,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
46,3390,391095,0uegOgAsjDrBLfn4efvx34,吊点加强钢筋_B3:吊点加强钢筋_B3:710379,710379,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
47,3311,390195,0uegOgAsjDrBLfn4efvx1t,吊点加强钢筋_B3:吊点加强钢筋_B3:710232,710232,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
48,3391,391107,0uegOgAsjDrBLfn4efvx33,吊点加强钢筋_B3:吊点加强钢筋_B3:710380,710380,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
49,3309,390171,0uegOgAsjDrBLfn4efvx1v,吊点加强钢筋_B3:吊点加强钢筋_B3:710230,710230,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
50,3389,391083,0uegOgAsjDrBLfn4efvx35,吊点加强钢筋_B3:吊点加强钢筋_B3:710378,710378,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
51,1952,246899,3DV3DpgWr5jemi28WiSOho,主梁钢筋_N12a:主梁钢筋_N12a:670728,670728,28580.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
52,1947,246832,3DV3DpgWr5jemi28WiSOrc,主梁钢筋_N12a:主梁钢筋_N12a:670620,670620,28580.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
53,3282,389191,0uegOgAsjDrBLfn4efvxF4,吊点加强钢筋_B1:吊点加强钢筋_B1:710123,710123,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
54,3278,389147,0uegOgAsjDrBLfn4efvxF8,吊点加强钢筋_B1:吊点加强钢筋_B1:710119,710119,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
