time_s,installation_step,bar_index,phase,x_mm,y_mm,z_mm,qx,qy,qz,qw,gripper
5151.388864,2009,443,insert,7356.996401,2667.354525,20.071616,0.707103442,0.707110120,0.000000000,0.000000000,1
5151.472197,2009,443,insert,7356.996401,2667.354525,-44.808384,0.707103442,0.707110120,0.000000000,0.000000000,1
5151.555531,2009,443,release,7356.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5151.655531,2009,443,retreat,7356.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5151.755531,2009,443,retreat,7356.996401,2667.354525,-41.912384,0.707103442,0.707110120,0.000000000,0.000000000,0
5151.855531,2009,443,retreat,7356.996401,2667.354525,35.943616,0.707103442,0.707110120,0.000000000,0.000000000,0
5151.955531,2009,443,retreat,7356.996401,2667.354525,145.479616,0.707103442,0.707110120,0.000000000,0.000000000,0
5152.055531,2009,443,retreat,7356.996401,2667.354525,223.335616,0.707103442,0.707110120,0.000000000,0.000000000,0
5152.155531,2009,443,retreat,7356.996401,2667.354525,240.711616,0.707103442,0.707110120,0.000000000,0.000000000,0
5152.155531,2010,445,preinsert,7481.996401,2667.354525,1143.929847,0.707103442,0.707110120,0.000000000,0.000000000,1
5152.254824,2010,445,preinsert,7481.996401,2667.354525,1141.815374,0.707103442,0.707110120,0.000000000,0.000000000,1
5152.354118,2010,445,preinsert,7481.996401,2667.354525,1128.628553,0.707103442,0.707110120,0.000000000,0.000000000,1
5152.453411,2010,445,preinsert,7481.996401,2667.354525,1097.442350,0.707103442,0.707110120,0.000000000,0.000000000,1
5152.552705,2010,445,preinsert,7481.996401,2667.354525,1045.256866,0.707103442,0.707110120,0.000000000,0.000000000,1
5152.651998,2010,445,preinsert,7481.996401,2667.354525,972.344820,0.707103442,0.707110120,0.000000000,0.000000000,1
5152.751292,2010,445,preinsert,7481.996401,2667.354525,881.597022,0.707103442,0.707110120,0.000000000,0.000000000,1
5152.850586,2010,445,preinsert,7481.996401,2667.354525,777.867851,0.707103442,0.707110120,0.000000000,0.000000000,1
5152.949879,2010,445,preinsert,7481.996401,2667.354525,667.320732,0.707103442,0.707110120,0.000000000,0.000000000,1
5153.049173,2010,445,preinsert,7481.996401,2667.354525,556.773612,0.707103442,0.707110120,0.000000000,0.000000000,1
5153.148466,2010,445,preinsert,7481.996401,2667.354525,453.044441,0.707103442,0.707110120,0.000000000,0.000000000,1
5153.247760,2010,445,preinsert,7481.996401,2667.354525,362.296643,0.707103442,0.707110120,0.000000000,0.000000000,1
5153.347053,2010,445,preinsert,7481.996401,2667.354525,289.384597,0.707103442,0.707110120,0.000000000,0.000000000,1
5153.446347,2010,445,preinsert,7481.996401,2667.354525,237.199113,0.707103442,0.707110120,0.000000000,0.000000000,1
5153.545641,2010,445,preinsert,7481.996401,2667.354525,206.012910,0.707103442,0.707110120,0.000000000,0.000000000,1
5153.644934,2010,445,preinsert,7481.996401,2667.354525,192.826089,0.707103442,0.707110120,0.000000000,0.000000000,1
5153.744228,2010,445,insert,7481.996401,2667.354525,190.711616,0.707103442,0.707110120,0.000000000,0.000000000,1
5153.827561,2010,445,insert,7481.996401,2667.354525,176.231616,0.707103442,0.707110120,0.000000000,0.000000000,1
5153.910894,2010,445,insert,7481.996401,2667.354525,111.351616,0.707103442,0.707110120,0.000000000,0.000000000,1
5153.994228,2010,445,insert,7481.996401,2667.354525,20.071616,0.707103442,0.707110120,0.000000000,0.000000000,1
5154.077561,2010,445,insert,7481.996401,2667.354525,-44.808384,0.707103442,0.707110120,0.000000000,0.000000000,1
5154.160894,2010,445,release,7481.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5154.260894,2010,445,retreat,7481.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5154.360894,2010,445,retreat,7481.996401,2667.354525,-41.912384,0.707103442,0.707110120,0.000000000,0.000000000,0
5154.460894,2010,445,retreat,7481.996401,2667.354525,35.943616,0.707103442,0.707110120,0.000000000,0.000000000,0
5154.560894,2010,445,retreat,7481.996401,2667.354525,145.479616,0.707103442,0.707110120,0.000000000,0.000000000,0
5154.660894,2010,445,retreat,7481.996401,2667.354525,223.335616,0.707103442,0.707110120,0.000000000,0.000000000,0
5154.760894,2010,445,retreat,7481.996401,2667.354525,240.711616,0.707103442,0.707110120,0.000000000,0.000000000,0
5154.760894,2011,447,preinsert,7606.996401,2667.354525,1143.929847,0.707103442,0.707110120,0.000000000,0.000000000,1
5154.860188,2011,447,preinsert,7606.996401,2667.354525,1141.815374,0.707103442,0.707110120,0.000000000,0.000000000,1
5154.959481,2011,447,preinsert,7606.996401,2667.354525,1128.628553,0.707103442,0.707110120,0.000000000,0.000000000,1
5155.058775,2011,447,preinsert,7606.996401,2667.354525,1097.442350,0.707103442,0.707110120,0.000000000,0.000000000,1
5155.158069,2011,447,preinsert,7606.996401,2667.354525,1045.256866,0.707103442,0.707110120,0.000000000,0.000000000,1
5155.257362,2011,447,preinsert,7606.996401,2667.354525,972.344820,0.707103442,0.707110120,0.000000000,0.000000000,1
5155.356656,2011,447,preinsert,7606.996401,2667.354525,881.597022,0.707103442,0.707110120,0.000000000,0.000000000,1
5155.455949,2011,447,preinsert,7606.996401,2667.354525,777.867851,0.707103442,0.707110120,0.000000000,0.000000000,1
5155.555243,2011,447,preinsert,7606.996401,2667.354525,667.320732,0.707103442,0.707110120,0.000000000,0.000000000,1
5155.654536,2011,447,preinsert,7606.996401,2667.354525,556.773612,0.707103442,0.707110120,0.000000000,0.000000000,1
5155.753830,2011,447,preinsert,7606.996401,2667.354525,453.044441,0.707103442,0.707110120,0.000000000,0.000000000,1
5155.853124,2011,447,preinsert,7606.996401,2667.354525,362.296643,0.707103442,0.707110120,0.000000000,0.000000000,1
5155.952417,2011,447,preinsert,7606.996401,2667.354525,289.384597,0.707103442,0.707110120,0.000000000,0.000000000,1
